Ilce,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
Pamukkale,1,32,28,-1. Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,670000,,
Pamukkale,3,100,90,2. Kat,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1975000,Kat İrtifakı,"Kuzey, Doğu"
Pamukkale,4,125,110,3. Kat,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,3100000,Kat Mülkiyeti,
Pamukkale,4,160,150,6. Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,2,40,35,0. Kat,7,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Hayır,999000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,100,95,5. Kat,5,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,3700000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,115,90,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1890000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,160,140,1. Kat,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2100000,Kat İrtifakı,Güney
Pamukkale,3,80,75,2. Kat,10,Kombi,3,Uygun,Eşyalı,1,Sıfır,Hayır,1550000,,"Kuzey, Güney, Batı"
Pamukkale,4,160,140,4. Kat,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,2700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,85,80,3. Kat,10,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1990000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,3,115,100,0. Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2400000,,
Pamukkale,4,150,110,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,165,155,0. Kat,12,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000,,
Pamukkale,2,40,35,0. Kat,5,Kombi,5,Bilinmiyor,Eşyalı,1,Sıfır,Bilinmiyor,975000,Kat İrtifakı,
Pamukkale,7,305,300,6. Kat,12,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3300000,,
Pamukkale,2,59,58,3. Kat,11,Kombi,6,Uygun,Eşyalı,1,İkinci El,Evet,1310000,,
Pamukkale,3,100,95,13. Kat,15,Kombi,13,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1340000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,1,25,15,1. Kat,20,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,750000,Kat İrtifakı,Doğu
Pamukkale,3,130,125,4. Kat,30,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1450000,,
Pamukkale,2,41,40,4. Kat,7,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1150000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,6,195,185,4. Kat,16,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,2300000,Kat Mülkiyeti,"Güney, Doğu"
Pamukkale,3,120,110,2. Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1999999,Kat Mülkiyeti,
Pamukkale,2,70,65,2. Kat,2,Merkezi (Pay Ölçer),2,Uygun,Eşyalı,1,İkinci El,Evet,2250000,Kat İrtifakı,Doğu
Pamukkale,3,120,115,4. Kat,28,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2250000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,150,145,2. Kat,35,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1900000,,
Pamukkale,4,160,145,2. Kat,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,5495000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
Pamukkale,4,160,140,2. Kat,26,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,3468000,Kat Mülkiyeti,"Kuzey, Güney, Batı"
Pamukkale,5,220,210,3. Kat,5,Kombi,4,Uygun,Eşyalı Değil,3,İkinci El,Hayır,4500000,Kat Mülkiyeti,
